ticker,year,date,close,moving_average_50,moving_average_200,trend
TSLA,2021,2021-05-27,206.7466735839844,220.79,199.07,Bullish
TSLA,2021,2021-05-28,209.5,220.42,199.62,Bullish
TSLA,2021,2021-06-01,209.26666259765625,220.30,200.13,Bullish
TSLA,2021,2021-06-02,206.7100067138672,219.87,200.61,Bullish
TSLA,2021,2021-06-03,200.6000061035156,219.37,201.06,Bullish
TSLA,2021,2021-06-04,193.23666381835935,218.78,201.39,Bullish
TSLA,2021,2021-06-07,197.27667236328125,218.64,201.75,Bullish
TSLA,2021,2021-06-08,207.6699981689453,218.52,202.17,Bullish
TSLA,2021,2021-06-09,200.72332763671875,218.43,202.49,Bullish
TSLA,2021,2021-06-10,201.2933349609375,218.44,202.79,Bullish
TSLA,2021,2021-06-11,203.41000366210935,218.20,203.15,Bullish
TSLA,2021,2021-06-14,204.07666015625,217.69,203.48,Bullish
TSLA,2021,2021-06-15,205.56333923339844,217.08,203.78,Bullish
TSLA,2021,2021-06-16,199.17999267578125,216.47,204.02,Bullish
TSLA,2021,2021-06-17,200.6300048828125,215.90,204.28,Bullish
TSLA,2021,2021-06-18,204.4566650390625,215.47,204.46,Bullish
TSLA,2021,2021-06-21,208.16000366210935,215.12,204.71,Bullish
TSLA,2021,2021-06-22,206.0833282470703,214.67,205.06,Bullish
TSLA,2021,2021-06-23,210.6666717529297,214.13,205.44,Bullish
TSLA,2021,2021-06-24,224.9966735839844,213.49,205.97,Bullish
TSLA,2021,2021-06-25,229.8600006103516,213.13,206.53,Bullish
TSLA,2021,2021-06-28,223.8800048828125,212.75,207.00,Bullish
TSLA,2021,2021-06-29,228.21665954589844,212.52,207.51,Bullish
TSLA,2021,2021-06-30,226.58999633789065,212.27,208.00,Bullish
TSLA,2021,2021-07-01,227.97332763671875,212.13,208.42,Bullish
TSLA,2021,2021-07-02,226.32666015625,211.71,208.82,Bullish
TSLA,2021,2021-07-06,227.23666381835935,211.46,209.26,Bullish
TSLA,2021,2021-07-07,221.42333984375,210.95,209.62,Bullish
TSLA,2021,2021-07-08,209.4566650390625,210.35,209.91,Bullish
TSLA,2021,2021-07-09,217.72666931152344,210.06,210.28,Bearish
TSLA,2021,2021-07-12,220.73333740234372,209.81,210.71,Bearish
TSLA,2021,2021-07-13,228.77333068847656,209.94,211.25,Bearish
TSLA,2021,2021-07-14,223.5833282470703,209.72,211.71,Bearish
TSLA,2021,2021-07-15,219.4633331298828,209.58,212.10,Bearish
TSLA,2021,2021-07-16,218.22666931152344,209.41,212.50,Bearish
TSLA,2021,2021-07-19,209.9633331298828,209.07,212.85,Bearish
TSLA,2021,2021-07-20,217.3300018310547,208.98,213.20,Bearish
TSLA,2021,2021-07-21,219.8699951171875,208.94,213.60,Bearish
