Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2016-11-01,25.590343475341797,26.11367250039802,25.36999450432749,26.04251863769345,175303200
2016-11-02,25.613300323486328,25.78774394388774,25.53067097822065,25.569690731769654,113326800
2016-11-03,25.338754653930664,25.71480946411333,25.27415645440667,25.604070196406166,107730400
2016-11-04,25.110347747802734,25.435648036965976,24.941931290712734,25.038828575079748,123348000
2016-11-07,25.472570419311523,25.495640957210142,25.253395908851616,25.39643606009379,130240000
2016-11-08,25.622526168823242,25.774794865704806,25.30876196934211,25.44949451882272,97016800
2016-11-09,25.580991744995117,25.682504182767513,24.9280871625248,25.35028293927131,236705600
2016-11-10,24.868114471435547,25.62945284439702,24.415925203575974,25.62945284439702,228538000
2016-11-11,25.01576042175293,25.11727287797562,24.58202842182032,24.71353239457752,136575600
2016-11-14,24.388233184814453,24.8727214349155,24.012178379675365,24.849650901133337,204702000
2016-11-15,24.711231231689453,24.842735238603186,24.492058473556323,24.58664821037603,129058000
2016-11-16,25.375667572021484,25.43103896695081,24.593564660376547,24.61663519484596,235362000
2016-11-17,25.366437911987305,25.458721806053113,25.108045120805695,25.334138813089602,110528000
2016-11-18,25.391815185546875,25.502556206790413,25.29953305470755,25.313375022299685,113715600
2016-11-21,25.777103424072266,25.837086464357252,25.380283876739426,25.40566199384809,117058400
2016-11-22,25.79325294494629,25.936291321026165,25.70096904285567,25.82785786808237,103862000
2016-11-23,25.6617488861084,25.72634708934387,25.454110547016512,25.691740406133718,109705600
2016-11-25,25.79094886779785,25.80940600275772,25.59715247105778,25.638680144632847,45903600
2016-11-28,25.74018669128418,25.947825011279967,25.69865902728502,25.707887592636933,108776000
2016-11-29,25.714813232421875,25.846317232200608,25.394128009098832,25.557931113372753,114115200
2016-11-30,25.497943878173828,25.885534855352656,25.440266659904175,25.74710988353929,144649200
2016-12-01,25.260311126708984,25.594840010450753,25.15418526847088,25.463336038267798,148347600
2016-12-02,25.354907989501953,25.398741482769974,25.112662944948916,25.186489721166257,106112000
2016-12-05,25.17264747619629,25.384899235485616,24.974237687243914,25.377978250317142,137298000
2016-12-06,25.366437911987305,25.461029387451198,25.191100449448037,25.26261963126882,104782000
2016-12-07,25.6156063079834,25.652520573150387,25.18418183490074,25.20725237054559,119994800
2016-12-08,25.867082595825195,25.938601791831395,25.516404080853853,25.5763888879196,108273200
2016-12-09,26.289276123046875,26.46230778272512,25.910913701363974,25.910913701363974,137610400
2016-12-12,26.139314651489258,26.531519011063498,25.952439277192116,26.1370070700323,105497600
2016-12-13,26.575355529785156,26.743772020655907,26.243134190840433,26.263897144439976,174935200
2016-12-14,26.575355529785156,26.808370223190934,26.526906877883885,26.540748846950247,136127200
2016-12-15,26.7206974029541,26.93064328928526,26.584580034147624,26.619184951526396,186098000
